id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
15512,Diamant,719,6.82242,6.69813,17076,21071,1.1129,3,8,30,30,https://boardgamegeek.com/boardgame/15512
98229,Pictomania,720,7.28315,6.69796,3240,4694,1.5283,3,6,25,25,https://boardgamegeek.com/boardgame/98229
106217,Hawaii,721,7.1558,6.69766,4192,4421,2.9034,2,5,90,90,https://boardgamegeek.com/boardgame/106217
16747,Tumblin-Dice,722,7.18105,6.69706,3889,3758,1.0452,2,4,45,45,https://boardgamegeek.com/boardgame/16747
108906,Thunder Alley,723,7.32187,6.69704,3137,4037,2.3886,2,7,90,90,https://boardgamegeek.com/boardgame/108906
284435,Nova Luna,724,7.4492,6.69668,2748,4552,1.9032,1,4,30,60,https://boardgamegeek.com/boardgame/284435
91514,Rhino Hero,725,6.94644,6.69619,8363,14360,1.0284,2,5,5,15,https://boardgamegeek.com/boardgame/91514
65244,Forbidden Island,726,6.79052,6.69602,41995,72559,1.7407,2,4,30,30,https://boardgamegeek.com/boardgame/65244
217780,Gentes,727,7.47534,6.69547,2385,3365,3.1717,1,4,90,90,https://boardgamegeek.com/boardgame/217780
191977,The Castles of Burgundy: The Card Game,728,7.03617,6.69545,5798,11917,2.5433,1,4,30,60,https://boardgamegeek.com/boardgame/191977
223953,Kitchen Rush,729,7.39322,6.69512,2745,4854,2.2364,1,4,30,45,https://boardgamegeek.com/boardgame/223953
201921,Tiny Epic Quest,730,7.06178,6.69346,6094,16123,2.6607,1,4,30,60,https://boardgamegeek.com/boardgame/201921
202408,Adrenaline,731,7.06076,6.69223,5536,7376,2.3362,3,5,30,60,https://boardgamegeek.com/boardgame/202408
195137,Catacombs (Third Edition),732,7.56929,6.6922,2236,4949,2.2439,2,5,60,90,https://boardgamegeek.com/boardgame/195137
179172,Unfair,733,7.34799,6.69185,3611,6311,2.6966,2,5,50,125,https://boardgamegeek.com/boardgame/179172
240,Britannia,734,7.19666,6.69129,4041,5765,3.166,3,5,180,300,https://boardgamegeek.com/boardgame/240
66356,Dungeons & Dragons: Wrath of Ashardalon Board Game,735,7.13914,6.69124,5857,11961,2.6216,1,5,60,60,https://boardgamegeek.com/boardgame/66356
52461,Legacy: The Testament of Duke de Crecy,736,7.16569,6.69084,4008,5104,2.7111,1,4,60,60,https://boardgamegeek.com/boardgame/52461
234671,Pandemic: Rising Tide,737,7.62101,6.68956,2076,4635,2.44,2,5,45,45,https://boardgamegeek.com/boardgame/234671
41,Can't Stop,738,6.84754,6.68918,13248,11826,1.1582,2,4,30,30,https://boardgamegeek.com/boardgame/41
207243,The City of Kings,739,7.75219,6.68908,2040,4167,3.1585,1,4,45,180,https://boardgamegeek.com/boardgame/207243
172047,The Others,740,7.3877,6.68899,3323,7209,3.0396,2,5,90,90,https://boardgamegeek.com/boardgame/172047
160851,Lanterns: The Harvest Festival,741,6.91607,6.68799,9601,16174,1.5721,2,4,30,30,https://boardgamegeek.com/boardgame/160851
195560,Wasteland Express Delivery Service,742,7.43363,6.68524,2705,6049,2.9079,2,5,90,120,https://boardgamegeek.com/boardgame/195560
30645,Tammany Hall,743,7.25779,6.68521,3385,4567,2.7773,3,5,90,90,https://boardgamegeek.com/boardgame/30645
244115,Shards of Infinity,744,7.52685,6.68489,2425,4211,2,2,4,30,30,https://boardgamegeek.com/boardgame/244115
169124,Flick 'em Up!,745,6.94942,6.68422,7698,14268,1.3261,2,10,30,45,https://boardgamegeek.com/boardgame/169124
904,Dream Factory,746,7.0535,6.6828,5079,5427,2.1094,2,5,60,60,https://boardgamegeek.com/boardgame/904
176165,Dale of Merchants,747,7.21732,6.68139,3798,6422,2.094,2,4,30,30,https://boardgamegeek.com/boardgame/176165
8051,Attika,748,6.99957,6.68076,6331,5832,2.3704,2,4,45,60,https://boardgamegeek.com/boardgame/8051
239464,Palm Island,749,7.25805,6.67933,3464,7887,1.7604,1,2,15,15,https://boardgamegeek.com/boardgame/239464
262211,Cloudspire,750,8.22246,6.67889,1411,2877,4.1842,1,4,90,180,https://boardgamegeek.com/boardgame/262211
202670,Ticket to Ride: Rails & Sails,751,7.40936,6.67853,2961,6427,2.5593,2,5,60,120,https://boardgamegeek.com/boardgame/202670
251678,Railroad Ink: Blazing Red Edition,752,7.19202,6.678,3775,7594,1.4364,1,6,20,30,https://boardgamegeek.com/boardgame/251678
